>C00158,line
1,10
2,20
3,30
4,40
5,60
//
>C00417,line
1,10
2,14
3,10
4,40
5,40
//
>C00311,line
1,20
2,34
3,20
4,10
5,100
//
>C00026,line
1,20
2,34
3,20
4,100
5,100
6,20
7,34
8,20
9,100
10,100
11,20
12,34
13,20
14,100
15,100
16,20
17,34
18,20
19,100
20,100
21,20
22,34
23,20
24,100
25,100
26,20
27,34
28,20
29,100
30,100
31,20
32,34
33,20
34,100
35,100
36,20
37,34
38,20
39,100
40,100
//
>C00091,line
1,20
2,34
3,80
4,70
5,60
//
>C00042,line
1,60
2,84
3,100
4,60
5,50
//
>C00122,line
1,10
2,20
3,30
4,40
5,60
//
>C00149,line
1,30
2,40
3,50
4,60
5,70
//
>C00036,line
1,30
2,40
3,50
4,60
5,70
//
>R02584,bar
1,30
2,40
3,50
4,60
5,70
//
>R00267,bar
1,60
2,70
3,80
4,90
5,30
6,40
7,50
8,60
9,70
10,90
11,30
12,40
13,50
14,60
15,70
16,30
17,40
18,50
19,60
20,70
//
>R01197,bar
1,50
2,60
3,70
4,80
5,90
//
>R00405,bar
1,80
2,90
3,100
4,100
5,100
//
>R00408,bar
1,100
2,100
3,90
4,80
5,70
//
>R01082,bar
1,90
2,80
3,70
4,60
5,50
//
>R00479,bar
1,80
2,70
3,60
4,60
5,70
//
>R00472,bar
1,50
2,60
3,70
4,80
5,90
//
>R00217,bar
1,20
2,30
3,30
4,30
5,40
//
>R00341,bar
1,50
2,50
3,40
4,30
5,40
//
